Iter,PSNR,SSIM,Loss
1,15.19,0.416,0.189
2,15.37,0.421,0.184
3,15.24,0.415,0.180
4,15.39,0.417,0.176
5,15.35,0.418,0.172
6,15.13,0.415,0.168
7,14.88,0.413,0.165
8,14.93,0.415,0.162
9,14.75,0.416,0.159
10,15.03,0.416,0.156
11,15.04,0.418,0.153
12,14.81,0.419,0.151
13,15.10,0.418,0.149
14,15.16,0.419,0.147
15,14.95,0.420,0.145
16,15.22,0.417,0.143
17,15.04,0.419,0.141
18,15.08,0.420,0.140
19,15.21,0.426,0.138
20,15.17,0.425,0.137
21,15.18,0.421,0.135
22,14.97,0.422,0.134
23,15.17,0.423,0.133
24,15.03,0.422,0.132
25,15.19,0.424,0.131
26,14.87,0.420,0.130
27,15.10,0.425,0.129
28,14.96,0.422,0.128
29,15.24,0.424,0.127
30,15.11,0.424,0.127
31,15.05,0.423,0.126
32,14.86,0.422,0.125
33,15.04,0.422,0.124
34,15.03,0.424,0.124
35,15.10,0.421,0.123
36,14.90,0.422,0.122
37,15.01,0.422,0.122
38,14.85,0.421,0.121
39,14.91,0.418,0.121
40,14.87,0.419,0.120
41,14.85,0.419,0.119
42,14.78,0.420,0.119
43,14.98,0.420,0.118
44,14.74,0.417,0.118
45,14.90,0.413,0.118
46,14.95,0.418,0.117
47,14.96,0.413,0.117
48,14.81,0.411,0.116
49,14.88,0.414,0.116
50,14.95,0.414,0.115
51,14.96,0.415,0.115
52,14.74,0.405,0.115
53,14.90,0.404,0.114
54,14.97,0.407,0.114
55,14.92,0.402,0.113
56,14.78,0.396,0.113
57,14.90,0.405,0.113
58,14.90,0.392,0.112
59,14.87,0.396,0.112
60,14.89,0.401,0.112
61,14.82,0.397,0.111
62,14.86,0.398,0.111
63,14.76,0.390,0.111
64,14.67,0.398,0.110
65,14.77,0.387,0.110
66,14.87,0.390,0.110
67,14.80,0.381,0.110
68,14.83,0.382,0.109
69,14.68,0.380,0.109
70,14.89,0.380,0.109
71,14.82,0.381,0.108
72,14.87,0.377,0.108
73,14.83,0.375,0.108
74,14.88,0.376,0.108
75,14.81,0.379,0.107
76,14.73,0.375,0.107
77,14.74,0.372,0.107
78,14.74,0.374,0.106
79,14.46,0.374,0.106
80,14.42,0.358,0.106
81,14.62,0.363,0.106
82,14.63,0.366,0.105
83,14.81,0.365,0.105
84,14.67,0.367,0.105
85,14.54,0.361,0.105
86,14.41,0.362,0.104
87,14.61,0.357,0.104
88,14.53,0.366,0.104
89,14.66,0.367,0.104
90,14.52,0.360,0.103
91,14.42,0.364,0.103
92,14.38,0.363,0.103
93,14.51,0.351,0.103
94,14.35,0.349,0.103
95,14.34,0.349,0.103
96,14.40,0.348,0.102
97,14.26,0.349,0.102
98,14.37,0.349,0.102
99,14.38,0.353,0.102
100,14.33,0.356,0.102
101,14.23,0.357,0.102
102,14.26,0.361,0.102
103,14.20,0.354,0.101
104,14.34,0.351,0.101
105,14.18,0.346,0.101
106,14.35,0.361,0.101
107,14.16,0.354,0.101
108,14.20,0.357,0.101
109,14.32,0.357,0.101
110,14.27,0.362,0.100
111,14.19,0.358,0.100
112,14.16,0.361,0.100
113,14.23,0.366,0.100
114,14.33,0.367,0.100
115,14.07,0.358,0.100
116,14.23,0.360,0.099
117,14.14,0.360,0.099
118,14.22,0.367,0.099
119,14.19,0.361,0.099
